before	after	genotype	hatch time start	hatch time end	hatch time ave	plate time	hatch day	count time	transition	Series	time_after_synch	time after plate
107	101	N2	11/08/2020 14:30	11/08/2020 15:45	15:07:30	11/08/2020 16:00	11/08/2020	13/08/2020 09:46	L4/A	ctrl_juice	42.64166667	41.76666667
13	297	N2	11/08/2020 14:30	11/08/2020 15:45	15:07:30	11/08/2020 16:00	11/08/2020	13/08/2020 11:00	L4/A	ctrl_juice	43.875	43
219	39	N2	11/08/2020 14:30	11/08/2020 15:45	15:07:30	11/08/2020 16:00	11/08/2020	13/08/2020 14:48	embryo	ctrl_juice	47.675	46.8
100	196	N2	11/08/2020 14:30	11/08/2020 15:45	15:07:30	11/08/2020 16:00	11/08/2020	13/08/2020 16:09	embryo	ctrl_juice	49.025	48.15
115	108	N2	11/08/2020 14:30	11/08/2020 15:45	15:07:30	11/08/2020 16:00	11/08/2020	13/08/2020 09:50	L4/A	Asc_0.001X	42.70833333	41.83333333
18	296	N2	11/08/2020 14:30	11/08/2020 15:45	15:07:30	11/08/2020 16:00	11/08/2020	13/08/2020 11:03	L4/A	Asc_0.001X	43.925	43.05
203	42	N2	11/08/2020 14:30	11/08/2020 15:45	15:07:30	11/08/2020 16:00	11/08/2020	13/08/2020 14:54	embryo	Asc_0.001X	47.775	46.9
99	168	N2	11/08/2020 14:30	11/08/2020 15:45	15:07:30	11/08/2020 16:00	11/08/2020	13/08/2020 16:15	embryo	Asc_0.001X	49.125	48.25
119	106	N2	11/08/2020 14:30	11/08/2020 15:45	15:07:30	11/08/2020 16:00	11/08/2020	13/08/2020 09:53	L4/A	Asc_0.01X	42.75833333	41.88333333
16	289	N2	11/08/2020 14:30	11/08/2020 15:45	15:07:30	11/08/2020 16:00	11/08/2020	13/08/2020 11:06	L4/A	Asc_0.01X	43.975	43.1
177	24	N2	11/08/2020 14:30	11/08/2020 15:45	15:07:30	11/08/2020 16:00	11/08/2020	13/08/2020 15:03	embryo	Asc_0.01X	47.925	47.05
13	234	N2	11/08/2020 14:30	11/08/2020 15:45	15:07:30	11/08/2020 16:00	11/08/2020	13/08/2020 17:48	embryo	Asc_0.01X	50.675	49.8
189	96	N2	11/08/2020 14:30	11/08/2020 15:45	15:07:30	11/08/2020 16:00	11/08/2020	13/08/2020 09:58	L4/A	Asc_0.1X	42.84166667	41.96666667
21	316	N2	11/08/2020 14:30	11/08/2020 15:45	15:07:30	11/08/2020 16:00	11/08/2020	13/08/2020 11:12	L4/A	Asc_0.1X	44.075	43.2
205	32	N2	11/08/2020 14:30	11/08/2020 15:45	15:07:30	11/08/2020 16:00	11/08/2020	13/08/2020 15:47	embryo	Asc_0.1X	48.65833333	47.78333333
29	176	N2	11/08/2020 14:30	11/08/2020 15:45	15:07:30	11/08/2020 16:00	11/08/2020	13/08/2020 17:53	embryo	Asc_0.1X	50.75833333	49.88333333
202	54	N2	11/08/2020 14:30	11/08/2020 15:45	15:07:30	11/08/2020 16:00	11/08/2020	13/08/2020 10:01	L4/A	Asc_1X	42.89166667	42.01666667
22	295	N2	11/08/2020 14:30	11/08/2020 15:45	15:07:30	11/08/2020 16:00	11/08/2020	13/08/2020 11:14	L4/A	Asc_1X	44.10833333	43.23333333
176	15	N2	11/08/2020 14:30	11/08/2020 15:45	15:07:30	11/08/2020 16:00	11/08/2020	13/08/2020 16:19	embryo	Asc_1X	49.19166667	48.31666667
72	159	N2	11/08/2020 14:30	11/08/2020 15:45	15:07:30	11/08/2020 16:00	11/08/2020	13/08/2020 17:58	embryo	Asc_1X	50.84166667	49.96666667
210	50	N2	11/08/2020 14:30	11/08/2020 15:45	15:07:30	11/08/2020 16:00	11/08/2020	13/08/2020 10:04	L4/A	Juice_old	42.94166667	42.06666667
35	279	N2	11/08/2020 14:30	11/08/2020 15:45	15:07:30	11/08/2020 16:00	11/08/2020	13/08/2020 11:17	L4/A	Juice_old	44.15833333	43.28333333
177	24	N2	11/08/2020 14:30	11/08/2020 15:45	15:07:30	11/08/2020 16:00	11/08/2020	13/08/2020 16:23	embryo	Juice_old	49.25833333	48.38333333
102	173	N2	11/08/2020 14:30	11/08/2020 15:45	15:07:30	11/08/2020 16:00	11/08/2020	13/08/2020 18:05	embryo	Juice_old	50.95833333	50.08333333
251	44	N2	11/08/2020 14:30	11/08/2020 15:45	15:07:30	11/08/2020 16:00	11/08/2020	13/08/2020 10:04	L4/A	Juice_new	42.94166667	42.06666667
33	301	N2	11/08/2020 14:30	11/08/2020 15:45	15:07:30	11/08/2020 16:00	11/08/2020	13/08/2020 11:17	L4/A	Juice_new	44.15833333	43.28333333
181	18	N2	11/08/2020 14:30	11/08/2020 15:45	15:07:30	11/08/2020 16:00	11/08/2020	13/08/2020 16:23	embryo	Juice_new	49.25833333	48.38333333
87	149	N2	11/08/2020 14:30	11/08/2020 15:45	15:07:30	11/08/2020 16:00	11/08/2020	13/08/2020 18:05	embryo	Juice_new	50.95833333	50.08333333
